"CountryID","Country.Name","WEBNAME","Region","World.Rank","Property.Rights","Judical.Effectiveness","Trade.Freedom","Corporate.Tax.Rate....","Unemployment....","Inflation...."
168,"Tunisia","Tunisia","Middle East and North Africa",128,56.4,43.6,66.4,30,15.5,7.308
169,"Turkey","Turkey","Europe",71,57.4,53.7,78,22,10.9,16.332
170,"Turkmenistan","Turkmenistan","Asia-Pacific",170,20.1,20,74.2,8,3.8,13.562
171,"Uganda","Uganda","Sub-Saharan Africa",102,45.6,36.9,75.4,30,1.7,2.625
172,"Ukraine","Ukraine","Europe",134,47.5,42.2,81.2,18,9.4,10.947
173,"United Arab Emirates","UnitedArabEmirates","Middle East and North Africa",18,80.3,84.6,80.4,0,2.6,3.08
174,"United Kingdom","UnitedKingdom","Europe",7,92.2,82.7,86.4,20,4,2.478
175,"United States","UnitedStates","Americas",17,81.8,83.7,79.8,21,3.9,2.435
176,"Uruguay","Uruguay","Americas",47,72,59.8,77.4,25,8,7.607
177,"Uzbekistan","Uzbekistan","Asia-Pacific",114,59.1,34.2,67.6,7.5,5.2,17.899
178,"Vanuatu","Vanuatu","Asia-Pacific",98,68.3,36.1,63.4,0,5.4,2.837
179,"Venezuela","Venezuela","Americas",179,10.1,12.6,58,34,8.4,929789.5
180,"Vietnam","Vietnam","Asia-Pacific",105,52.6,40.1,79.6,22,1.9,3.54
181,"Yemen","Yemen","Middle East and North Africa",NA,22.5140374044355,20.1053174798536,70,NA,12.9,41.773
182,"Zambia","Zambia","Sub-Saharan Africa",147,45.2,31.3,72.6,35,7.2,7.043
183,"Zimbabwe","Zimbabwe","Sub-Saharan Africa",174,33.7,28.3,70,25,4.9,10.607
